Year,Team,Wiki,Region,Country,Track,Kind
2020,Ionis_Paris,http://2020.igem.org/Team:Ionis_Paris,Europe,France,Therapeutics,Collegiate
2020,JACOXH_China,http://2020.igem.org/Team:JACOXH_China,Asia,China,High School,High School
2020,Jiangnan_China,http://2020.igem.org/Team:Jiangnan_China,Asia,China,Manufacturing,Collegiate
2020,Jilin_China,http://2020.igem.org/Team:Jilin_China,Asia,China,Open,Collegiate
2020,JNFLS,http://2020.igem.org/Team:JNFLS,Asia,China,High School,High School
2020,KAIT_Japan,http://2020.igem.org/Team:KAIT_Japan,Asia,Japan,New Application,Collegiate
2020,KCL_UK,http://2020.igem.org/Team:KCL_UK,Europe,United Kingdom,Therapeutics,Collegiate
2020,KEYSTONE,http://2020.igem.org/Team:KEYSTONE,Asia,China,High School,High School
2020,KEYSTONE_A,http://2020.igem.org/Team:KEYSTONE_A,Asia,China,High School,High School
2020,Korea-SIS,http://2020.igem.org/Team:Korea-SIS,Asia,"Korea, Republic Of",High School,High School
2020,Korea_HS,http://2020.igem.org/Team:Korea_HS,Asia,"Korea, Republic Of",High School,High School
2020,KSA_KOREA,http://2020.igem.org/Team:KSA_KOREA,Asia,"Korea, Republic Of",High School,High School
2020,KUAS_Korea,http://2020.igem.org/Team:KUAS_Korea,Asia,"Korea, Republic Of",Open,Collegiate
2020,KU_ISTANBUL,http://2020.igem.org/Team:KU_ISTANBUL,Europe,Turkey,New Application,Collegiate
2020,Lambert_GA,http://2020.igem.org/Team:Lambert_GA,North America,United States,High School,High School
2020,Leiden,http://2020.igem.org/Team:Leiden,Europe,Netherlands,Diagnostics,Collegiate
2020,Lethbridge,http://2020.igem.org/Team:Lethbridge,North America,Canada,Food & Nutrition,Collegiate
2020,Lethbridge_HS,http://2020.igem.org/Team:Lethbridge_HS,North America,Canada,High School,High School
2020,Linkoping,http://2020.igem.org/Team:Linkoping,Europe,Sweden,Software,Collegiate
2020,LINKS_China,http://2020.igem.org/Team:LINKS_China,Asia,China,High School,High School
2020,Lund,http://2020.igem.org/Team:Lund,Europe,Sweden,Environment,Collegiate
2020,Manchester,http://2020.igem.org/Team:Manchester,Europe,United Kingdom,Environment,Collegiate
2020,MichiganState,http://2020.igem.org/Team:MichiganState,North America,United States,Environment,Collegiate
2020,Mingdao,http://2020.igem.org/Team:Mingdao,Asia,Taiwan,High School,High School
2020,MIT,http://2020.igem.org/Team:MIT,North America,United States,Therapeutics,Collegiate
2020,MIT_MAHE,http://2020.igem.org/Team:MIT_MAHE,Asia,India,Therapeutics,Collegiate
2020,Montpellier,http://2020.igem.org/Team:Montpellier,Europe,France,Therapeutics,Collegiate
2020,Moscow,http://2020.igem.org/Team:Moscow,Europe,Russian Federation,Diagnostics,Collegiate
2020,MRIIRS_FARIDABAD,http://2020.igem.org/Team:MRIIRS_FARIDABAD,Asia,India,Environment,Collegiate
2020,MSP-Maastricht,http://2020.igem.org/Team:MSP-Maastricht,Europe,Netherlands,Environment,Collegiate
2020,Nanjing-China,http://2020.igem.org/Team:Nanjing-China,Asia,China,New Application,Collegiate
2020,Nanjing_high_school,http://2020.igem.org/Team:Nanjing_high_school,Asia,China,High School,High School
2020,Nanjing_NFLS,http://2020.igem.org/Team:Nanjing_NFLS,Asia,China,High School,High School
2020,Nantes,http://2020.igem.org/Team:Nantes,Europe,France,Environment,Collegiate
2020,NAU-CHINA,http://2020.igem.org/Team:NAU-CHINA,Asia,China,Environment,Collegiate
2020,NCKU_Tainan,http://2020.igem.org/Team:NCKU_Tainan,Asia,Taiwan,Therapeutics,Collegiate
2020,NCTU_Formosa,http://2020.igem.org/Team:NCTU_Formosa,Asia,Taiwan,Foundational Advance,Collegiate
2020,NEFU_China,http://2020.igem.org/Team:NEFU_China,Asia,China,New Application,Collegiate
2020,NEU_CHINA,http://2020.igem.org/Team:NEU_CHINA,Asia,China,Diagnostics,Collegiate
2020,NFLS,http://2020.igem.org/Team:NFLS,Asia,China,High School,High School
2020,NJMU-China,http://2020.igem.org/Team:NJMU-China,Asia,China,Diagnostics,Collegiate
2020,NJTech_China,http://2020.igem.org/Team:NJTech_China,Asia,China,Foundational Advance,Collegiate
2020,NJU-China,http://2020.igem.org/Team:NJU-China,Asia,China,Therapeutics,Collegiate
2020,NOFLS_YZ,http://2020.igem.org/Team:NOFLS_YZ,Asia,China,High School,High School
2020,Nottingham,http://2020.igem.org/Team:Nottingham,Europe,United Kingdom,Therapeutics,Collegiate
2020,NOVA_LxPortugal,http://2020.igem.org/Team:NOVA_LxPortugal,Europe,Portugal,Environment,Collegiate
2020,NTHU_Taiwan,http://2020.igem.org/Team:NTHU_Taiwan,Asia,Taiwan,Manufacturing,Collegiate
2020,NUDT_CHINA,http://2020.igem.org/Team:NUDT_CHINA,Asia,China,Foundational Advance,Collegiate
2020,NWU-CHINA-A,http://2020.igem.org/Team:NWU-CHINA-A,Asia,China,Therapeutics,Collegiate
2020,NWU-CHINA-B,http://2020.igem.org/Team:NWU-CHINA-B,Asia,China,Therapeutics,Collegiate
2020,NYC_Earthians,http://2020.igem.org/Team:NYC_Earthians,North America,United States,High School,High School
2020,NYMU-Taipei,http://2020.igem.org/Team:NYMU-Taipei,Asia,Taiwan,New Application,Collegiate
2020,NYU_Abu_Dhabi,http://2020.igem.org/Team:NYU_Abu_Dhabi,Asia,United Arab Emirates,Diagnostics,Collegiate
2020,OhioState,http://2020.igem.org/Team:OhioState,North America,United States,Foundational Advance,Collegiate
2020,OSA,http://2020.igem.org/Team:OSA,Asia,China,High School,High School
2020,OUC-China,http://2020.igem.org/Team:OUC-China,Asia,China,Information Processing,Collegiate
2020,Paris_Bettencourt,http://2020.igem.org/Team:Paris_Bettencourt,Europe,France,Foundational Advance,Collegiate
2020,Patras,http://2020.igem.org/Team:Patras,Europe,Greece,Diagnostics,Collegiate
2020,Peking,http://2020.igem.org/Team:Peking,Asia,China,Open,Collegiate
2020,Pittsburgh,http://2020.igem.org/Team:Pittsburgh,North America,United States,Foundational Advance,Collegiate
2020,PuiChing_Macau,http://2020.igem.org/Team:PuiChing_Macau,Asia,Macao,High School,High School
2020,Purdue,http://2020.igem.org/Team:Purdue,North America,United States,Diagnostics,Collegiate
2020,PYMS_GZ_China,http://2020.igem.org/Team:PYMS_GZ_China,Asia,China,High School,High School
2020,Qdai,http://2020.igem.org/Team:Qdai,Asia,Japan,Environment,Collegiate
2020,QHFZ-China,http://2020.igem.org/Team:QHFZ-China,Asia,China,High School,High School
2020,Queens_Canada,http://2020.igem.org/Team:Queens_Canada,North America,Canada,Diagnostics,Collegiate
2020,RDFZ-China,http://2020.igem.org/Team:RDFZ-China,Asia,China,High School,High School
2020,ROADS_SY,http://2020.igem.org/Team:ROADS_SY,Asia,China,High School,High School
