time,k_ts,k_tl,k_mat,k_cat,k_s,kc_s,k_l,k_tlr,k_m,deg_mrna,deg_tlr 
1546.0,0.4097781777381897,0.3956449329853058,0.3929951786994934,0.45710358023643494,0.1856382191181183,0.007456619292497635,0.23113694787025452,4.263125447323546e-06,0.325641930103302,0.0013050682609900832,0.022173399105668068
1547.0,0.4096909463405609,0.39556995034217834,0.3929974138736725,0.45683521032333374,0.18538929522037506,0.007462198846042156,0.23096872866153717,4.264433300704695e-06,0.3255454897880554,0.00130433589220047,0.022173304110765457
1548.0,0.4096030592918396,0.39549514651298523,0.39299914240837097,0.45656585693359375,0.18514053523540497,0.007467758376151323,0.2308003306388855,4.265726602170616e-06,0.32544875144958496,0.0013036021264269948,0.022173170000314713
1549.0,0.40951451659202576,0.39542052149772644,0.3930003345012665,0.45629552006721497,0.1848919689655304,0.007473297417163849,0.2306317389011383,4.267004442226607e-06,0.3253517746925354,0.001302866730839014,0.022172994911670685
1550.0,0.4094253480434418,0.395346075296402,0.3930009603500366,0.45602425932884216,0.18464358150959015,0.007478815969079733,0.2304629534482956,4.268267275620019e-06,0.32525449991226196,0.0013021300546824932,0.022172780707478523
1551.0,0.40933552384376526,0.39527177810668945,0.39300107955932617,0.45575201511383057,0.18439538776874542,0.007484314031898975,0.23029398918151855,4.2695151023508515e-06,0.32515695691108704,0.0013013918651267886,0.022172529250383377
1552.0,0.4092450737953186,0.39519765973091125,0.39300066232681274,0.45547884702682495,0.18414738774299622,0.007489791605621576,0.230124831199646,4.270747922419105e-06,0.32505911588668823,0.0013006521621719003,0.022172238677740097
1553.0,0.4091539680957794,0.3951237201690674,0.39299970865249634,0.45520469546318054,0.18389958143234253,0.007495248224586248,0.22995547950267792,4.2719661905721296e-06,0.32496100664138794,0.00129991106223315,0.022171908989548683
1554.0,0.4090622365474701,0.39504992961883545,0.39299824833869934,0.4549296200275421,0.18365195393562317,0.007500684354454279,0.2297859489917755,4.273168997315224e-06,0.32486262917518616,0.0012991686817258596,0.022171540185809135
1555.0,0.40896984934806824,0.39497631788253784,0.39299625158309937,0.45465362071990967,0.18340453505516052,0.007506099995225668,0.2296162098646164,4.274357252143091e-06,0.3247639834880829,0.0012984247878193855,0.022171134129166603
1556.0,0.40887686610221863,0.39490288496017456,0.3929937183856964,0.4543766677379608,0.1831573098897934,0.007511494681239128,0.22944629192352295,4.2755309550557286e-06,0.32466503977775574,0.0012976793805137277,0.022170690819621086
1557.0,0.4087832272052765,0.3948296010494232,0.39299067854881287,0.45409876108169556,0.18291029334068298,0.007516868412494659,0.2292761653661728,4.276689196558436e-06,0.3245658278465271,0.0012969328090548515,0.022170210257172585
1558.0,0.4086889326572418,0.3947564661502838,0.39298710227012634,0.45381996035575867,0.1826634705066681,0.007522221188992262,0.2291058599948883,4.277832886145916e-06,0.324466347694397,0.0012961847241967916,0.0221696924418211
1559.0,0.4085940420627594,0.3946835398674011,0.39298298954963684,0.45354020595550537,0.18241684138774872,0.0075275530107319355,0.2289353460073471,4.278962023818167e-06,0.32436656951904297,0.0012954352423548698,0.022169137373566628
1560.0,0.40849852561950684,0.394610732793808,0.39297837018966675,0.45325955748558044,0.18217043578624725,0.00753286387771368,0.22876465320587158,4.280076154827839e-06,0.32426655292510986,0.001294684479944408,0.02216854691505432
1561.0,0.40840238332748413,0.39453813433647156,0.39297324419021606,0.4529779553413391,0.1819242388010025,0.007538153324276209,0.22859375178813934,4.281175733922282e-06,0.3241662085056305,0.0012939323205500841,0.02216791920363903
1562.0,0.4083056151866913,0.39446568489074707,0.3929675817489624,0.45269545912742615,0.18167825043201447,0.007543422281742096,0.2284226417541504,4.2822603063541465e-06,0.324065625667572,0.0012931787641718984,0.022167254239320755
1563.0,0.4082082509994507,0.3943933844566345,0.39296141266822815,0.45241203904151917,0.18143247067928314,0.0075486693531274796,0.2282513529062271,4.283330781618133e-06,0.3239647448062897,0.0012924240436404943,0.022166553884744644
1564.0,0.40811023116111755,0.3943212628364563,0.3929547369480133,0.45212772488594055,0.18118689954280853,0.007553895469754934,0.22807985544204712,4.284386250219541e-06,0.32386356592178345,0.0012916678097099066,0.022165818139910698
1565.0,0.40801161527633667,0.39424929022789,0.3929475247859955,0.4518425166606903,0.18094155192375183,0.00755910063162446,0.2279081493616104,4.285427621653071e-06,0.3237621486186981,0.0012909104116261005,0.022165047004818916
1566.0,0.40791240334510803,0.39417746663093567,0.39293980598449707,0.45155638456344604,0.18069642782211304,0.007564283907413483,0.22773626446723938,4.286453986424021e-06,0.3236604332923889,0.0012901516165584326,0.0221642404794693
1567.0,0.40781256556510925,0.39410582184791565,0.39293158054351807,0.45126935839653015,0.18045151233673096,0.007569446228444576,0.22756415605545044,4.287466254027095e-06,0.3235584497451782,0.0012893915409222245,0.022163398563861847
1568.0,0.4077121317386627,0.39403432607650757,0.39292284846305847,0.450981467962265,0.18020682036876678,0.007574587129056454,0.22739185392856598,4.288463514967589e-06,0.32345616817474365,0.0012886303011327982,0.02216252125799656
1569.0,0.40761107206344604,0.3939630091190338,0.3929136097431183,0.45069265365600586,0.1799623668193817,0.007579706143587828,0.227219358086586,4.289446678740205e-06,0.3233536183834076,0.00128786766435951,0.022161610424518585
1570.0,0.4075094163417816,0.3938918113708496,0.3929038643836975,0.45040297508239746,0.17971812188625336,0.0075848037376999855,0.2270466387271881,4.290415745344944e-06,0.32325077056884766,0.0012871037470176816,0.022160666063427925
1571.0,0.40740716457366943,0.3938208222389221,0.39289361238479614,0.45011240243911743,0.1794741153717041,0.007589879911392927,0.2268737256526947,4.291370260034455e-06,0.3231476843357086,0.001286338665522635,0.02215968631207943
