time,k_ts,k_tl,k_mat,k_cat,k_s,kc_s,k_l,k_tlr,k_m,deg_mrna,deg_tlr 
3032.0,0.12864793837070465,0.12103893607854843,0.11699902266263962,0.08899534493684769,0.04208579286932945,0.0028432654216885567,0.011855926364660263,4.289933258405654e-06,0.08044975996017456,0.0011224019108340144,0.013895556330680847
3033.0,0.12309040129184723,0.11690151691436768,0.12798191606998444,0.09584033489227295,0.04280238226056099,0.0030769724398851395,0.011932775378227234,4.246471689839382e-06,0.08921768516302109,0.000986469560302794,0.01695999875664711
3034.0,0.13586769998073578,0.12095093727111816,0.10691383481025696,0.08308981359004974,0.03786597028374672,0.002929900772869587,0.011350520886480808,4.57388659924618e-06,0.0867219790816307,0.001207890105433762,0.016459699720144272
3035.0,0.14089344441890717,0.12372519820928574,0.12163558602333069,0.08611694723367691,0.040737833827733994,0.0031215697526931763,0.010664262808859348,4.706340405391529e-06,0.07647918164730072,0.0010569600854068995,0.01569885015487671
3036.0,0.126735121011734,0.12497881799936295,0.12307097017765045,0.0862279161810875,0.04484590142965317,0.002739907242357731,0.010589531622827053,4.515371983870864e-06,0.06614561378955841,0.0009421547874808311,0.016780424863100052
3037.0,0.14179778099060059,0.10854101181030273,0.11422092467546463,0.08731573820114136,0.04339509457349777,0.002966666128486395,0.011130143888294697,4.541586804407416e-06,0.07190235704183578,0.000977225136011839,0.015464529395103455
3038.0,0.11438901722431183,0.13007454574108124,0.11047383397817612,0.08169259130954742,0.03985092043876648,0.0026682496536523104,0.01153352577239275,4.40136818724568e-06,0.07545746117830276,0.0012081819586455822,0.014411368407309055
3039.0,0.1226465106010437,0.12511412799358368,0.12769830226898193,0.09020534157752991,0.03923153132200241,0.0029742626938968897,0.01005170401185751,4.505319338932168e-06,0.08155598491430283,0.0010371902026236057,0.01855567842721939
3040.0,0.14510376751422882,0.12579013407230377,0.1191064864397049,0.09817095100879669,0.0378815233707428,0.0029918455984443426,0.011022298596799374,4.992069079889916e-06,0.07295355945825577,0.0009309995803050697,0.014898925088346004
3041.0,0.14207714796066284,0.11281442642211914,0.11601032316684723,0.09175761789083481,0.040684774518013,0.002665827050805092,0.011226145550608635,4.801383965968853e-06,0.06854736059904099,0.000987417995929718,0.014312460087239742
3042.0,0.1431504786014557,0.10693659633398056,0.12936590611934662,0.07637113332748413,0.045257821679115295,0.0031219671946018934,0.010676785372197628,4.402426384331193e-06,0.06857037544250488,0.0009986028308048844,0.015330750495195389
3043.0,0.12656773626804352,0.11123160272836685,0.12139622122049332,0.08174577355384827,0.044732317328453064,0.0029013450257480145,0.010851599276065826,4.163241101196036e-06,0.074162557721138,0.0009891371009871364,0.01653592847287655
3044.0,0.11922222375869751,0.12070731073617935,0.11526798456907272,0.08145339787006378,0.04285556823015213,0.003203011117875576,0.010706850327551365,4.3309728425811045e-06,0.07396410405635834,0.0009592678397893906,0.015269733965396881
3045.0,0.13269942998886108,0.13414868712425232,0.11205078661441803,0.08384770154953003,0.03883444890379906,0.0030867699533700943,0.011363675817847252,4.72122792416485e-06,0.07861528545618057,0.0010736460098996758,0.017616435885429382
3046.0,0.13288359344005585,0.10158319026231766,0.11810837686061859,0.08959431201219559,0.04359845817089081,0.002663870807737112,0.0122651606798172,4.392758000903996e-06,0.06874359399080276,0.0008857610519044101,0.014640896581113338
3047.0,0.12843772768974304,0.12781283259391785,0.12236412614583969,0.08400844782590866,0.04038481041789055,0.003005340462550521,0.010519824922084808,4.269945748092141e-06,0.07695581018924713,0.0010406929068267345,0.015500912442803383
