time,k_ts,k_tl,k_mat,k_cat,k_s,kc_s,k_l,k_tlr,k_m,deg_mrna,deg_tlr 
2785.0,0.3061999976634979,0.298179030418396,0.26796454191207886,0.2121724933385849,0.09633670747280121,0.00569126708433032,0.04382617399096489,8.201439413824119e-06,0.20282694697380066,0.002123345388099551,0.03346741199493408
2786.0,0.3060704171657562,0.298001766204834,0.2678825855255127,0.21205569803714752,0.09628608822822571,0.005691626109182835,0.04372388869524002,8.205793164961506e-06,0.20266778767108917,0.0021236075554043055,0.033464252948760986
2787.0,0.30594053864479065,0.2978244125843048,0.2678004801273346,0.21193870902061462,0.09623553603887558,0.005691994447261095,0.04362175986170769,8.210143278120086e-06,0.20250844955444336,0.002123866928741336,0.03346109017729759
2788.0,0.3058103621006012,0.29764699935913086,0.26771822571754456,0.2118215560913086,0.09618505090475082,0.005692371167242527,0.04351978003978729,8.214489753299858e-06,0.2023489773273468,0.0021241239737719297,0.033457931131124496
2789.0,0.3056798577308655,0.29746949672698975,0.2676357924938202,0.21170423924922943,0.09613464027643204,0.005692757200449705,0.043417952954769135,8.218832590500824e-06,0.2021893411874771,0.0021243782248347998,0.0334547683596611
2790.0,0.30554908514022827,0.29729193449020386,0.2675532102584839,0.21158674359321594,0.09608429670333862,0.005693151615560055,0.043316278606653214,8.223171789722983e-06,0.2020295411348343,0.0021246301475912333,0.03345160931348801
2791.0,0.3054179847240448,0.2971143126487732,0.26747044920921326,0.21146906912326813,0.09603402018547058,0.005693554878234863,0.04321475699543953,8.227507350966334e-06,0.20186959207057953,0.002124879276379943,0.03344844654202461
2792.0,0.30528661608695984,0.29693660140037537,0.2673875391483307,0.21135123074054718,0.09598381072282791,0.005693966988474131,0.04311338812112808,8.231839274230879e-06,0.20170949399471283,0.002125126076862216,0.03344528377056122
2793.0,0.305154949426651,0.29675883054733276,0.2673044502735138,0.2112332135438919,0.09593367576599121,0.005694387014955282,0.04301217198371887,8.236167559516616e-06,0.2015492469072342,0.0021253700833767653,0.03344212472438812
2794.0,0.3050229549407959,0.296580970287323,0.26722124218940735,0.2111150324344635,0.09588360041379929,0.005694815889000893,0.0429111085832119,8.240492206823546e-06,0.20138883590698242,0.002125611761584878,0.03343896195292473
